restaurant,items,price,date
The Light Kitchen,Falafel and Hummus Sandwich,187.0,2019-04-17
Domino's Pizza,2 Pizzas at 199 each Select any 2 Medium Pizzas Worth 305 @ 199 each,0.0,2019-04-17
Masala Wok,Veg. Clear Soup,130.0,2019-04-17
Masala Wok,Veg. Sweet Corn Soup,130.0,2019-04-17
Kosho,Palak Shorba,110.0,2019-04-17
Kosho,Sabzi Bahar Ka Shorba,120.0,2019-04-17
Domino's Pizza,2 Pizzas at 219 each Select any 2 Regular Pizzas Worth 295 @ 219 each,0.0,2019-04-17
Domino's Pizza,Deluxe Veggie,450.0,2019-04-17
Domino's Pizza,2 Pizzas at 219 each Select any 2 Regular Pizzas Worth 295 @ 219 each,0.0,2019-04-17
Domino's Pizza,Deluxe Veggie,450.0,2019-04-17
Domino's Pizza,2 Pizzas at 219 each Select any 2 Regular Pizzas Worth 295 @ 219 each,0.0,2019-04-17
Domino's Pizza,Deluxe Veggie,450.0,2019-04-17
Flavours of China ( Evershine Nagar),Chicken Flavours Special Soup,132.0,2019-04-17
Flavours of China ( Evershine Nagar),Chicken Hot & Sour Soup,121.0,2019-04-17
Bhagwati Veg Restaurant,Poori Bhaji,85.0,2019-04-17
Bhagwati Veg Restaurant,Poori Only,65.0,2019-04-17
